sample,BTG3,CD69,CXCR1,CXCR2,FCGR3A,JUN,STEAP4,groups
40 EDTA val T24,2.79,2.41,-0.109999999999999,2.0,-1.8,-2.31,0.870000000000001,0
8759 EDTA val T24,2.81,0.990000000000001,0.220000000000001,0.240000000000001,-2.44,-3.92,0.280000000000001,0
8760 EDTA val T24,2.71333333333333,0.963333333333334,-0.0666666666666661,0.303333333333334,-2.65666666666667,-3.82666666666667,1.27333333333333,0
8761 EDTA val T24,2.14333333333333,0.593333333333334,0.383333333333334,0.423333333333334,-2.56666666666667,-3.35666666666667,0.303333333333334,0
8762 EDTA val T24,3.25666666666667,0.976666666666665,0.886666666666665,0.916666666666665,-2.10333333333333,-3.89333333333333,0.746666666666665,0
8764 EDTA val T24,2.87666666666667,1.03666666666667,0.576666666666668,0.966666666666668,-2.22333333333333,-2.92333333333333,0.996666666666668,0
8765 EDTA val T24,3.36666666666666,1.63666666666666,-0.323333333333335,0.0266666666666649,-3.02333333333334,-2.68333333333333,-0.623333333333335,0
8766 EDTA val T24,3.62,2.02,0.490000000000001,0.440000000000001,-3.41,-2.17,0.810000000000001,0
8767 EDTA val T24,2.49333333333333,1.10333333333333,1.16333333333333,1.57333333333333,-2.55666666666667,-3.68666666666667,1.00333333333333,0
8819 EDTA val T24,2.99333333333333,1.34333333333333,-0.166666666666666,-0.176666666666666,-3.46666666666667,-3.61666666666667,0.153333333333334,0
8820 EDTA val T24,3.05,1.19,-0.0299999999999983,-0.0599999999999983,-2.52,-3.67,0.660000000000002,0
8821 EDTA val T24,2.89,0.34,-0.73,-0.66,-4.31,-3.6,-1.11,0
8822 EDTA val T24,3.13,2.06,-0.369999999999999,-0.489999999999999,-2.79,-3.21,-0.639999999999999,0
8827 EDTA val T24,2.81333333333333,1.55333333333333,0.313333333333333,0.943333333333333,-2.18666666666667,-2.92666666666667,0.243333333333333,0
8828 EDTA val T24,3.29,1.73,0.56,0.73,-3.11,-2.5,0.25,0
8829 EDTA valT24,3.36666666666667,0.916666666666669,0.566666666666669,0.856666666666668,-2.00333333333333,-2.87333333333333,0.266666666666668,0
